NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
NEGRI SEMBILAN OIL PALMS BERHAD (2038),SEM.KL,D,20180504,1.52,1.52,1.48,1.5,374,0
A50CHIN-C12,A50CHIN-C12.KL,D,20180504,0.04,0.04,0.035,0.035,2430,0
ABF MALAYSIA BOND INDEX FUND,ABFMY1.KL,D,20180504,1.153,1.153,1.153,1.153,0,0
A50CHIN-C13,A50CHIN-C13.KL,D,20180504,0.21,0.21,0.21,0.21,0,0
ABLEGROUP BERHAD (7086.KL),ABLEGRP.KL,D,20180504,0.1,0.1,0.1,0.1,0,0
A50CHIN-C14,A50CHIN-C14.KL,D,20180504,0.03,0.03,0.03,0.03,250,0
ABM FUJIYA BERHAD [S] (5198.KL),AFUJIYA.KL,D,20180504,0.41,0.42,0.41,0.42,100,0
A50CHIN-C16,A50CHIN-C16.KL,D,20180504,0.075,0.09,0.07,0.09,10204,0
ACME HOLDINGS BERHAD (7131.KL),ACME.KL,D,20180504,0.35,0.35,0.35,0.35,0,0
A50CHIN-H15,A50CHIN-H15.KL,D,20180504,1.1,1.1,1.1,1.1,0,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20180504,0.375,0.395,0.375,0.395,110,0
A50CHIN-H7,A50CHIN-H7.KL,D,20180504,0.14,0.14,0.14,0.14,0,0
ADVANCE INFORMATION MARKETING BERHAD (0122.KL),AIM.KL,D,20180504,0.22,0.22,0.22,0.22,0,0
A50CHIN-H8,A50CHIN-H8.KL,D,20180504,0.59,0.59,0.59,0.59,0,0
ADVANCE SYNERGY BERHAD (1481.KL),ASB.KL,D,20180504,0.12,0.125,0.12,0.12,1965,0
A50CHIN-H9,A50CHIN-H9.KL,D,20180504,0.69,0.715,0.69,0.715,24,0
ADVCON,ADVCON.KL,D,20180504,0.63,0.65,0.615,0.65,1051,0
AAX-C11,AAX-C11.KL,D,20180504,0.035,0.035,0.035,0.035,4691,0
ADVANCED PACKAGING TECHNOLOGY (M) BHD (9148.KL),ADVPKG.KL,D,20180504,1.95,2,1.95,1.99,54,0
AAX-C13,AAX-C13.KL,D,20180504,0.045,0.045,0.045,0.045,10000,0
ADVENTA BERHAD [S] (7191.KL),ADVENTA.KL,D,20180504,0.525,0.55,0.525,0.525,412,0
AAX-C14,AAX-C14.KL,D,20180504,0.05,0.05,0.05,0.05,8000,0
AE MULTI HOLDINGS BERHAD (7146.KL),AEM.KL,D,20180504,0.16,0.165,0.16,0.165,4917,0
AAX-C15,AAX-C15.KL,D,20180504,0.045,0.045,0.045,0.045,0,0
AEMULUS,AEMULUS.KL,D,20180504,0.38,0.385,0.365,0.365,21225,0
AAX-C16,AAX-C16.KL,D,20180504,0.07,0.07,0.07,0.07,0,0
AEON CO. (M) BHD [S] (6599.KL),AEON.KL,D,20180504,2.04,2.05,2.02,2.05,5874,0
AAX-C17,AAX-C17.KL,D,20180504,0.065,0.065,0.065,0.065,0,0
AEON CREDIT SERVICE (M) BERHAD (5139.KL),AEONCR.KL,D,20180504,12.74,12.8,12.7,12.7,1702,0
AAX-WA,AAX-WA.KL,D,20180504,0.155,0.155,0.155,0.155,3565,0
